key,English,French
foodCookiesChickenNuggies,"Chicken Nuggies","Nuggies de Poulet"
foodCookiesChickenNuggiesDesc,"Chicken Nuggies they weren't frozen at least","Nuggies de poulet, elles n'étaient pas congelées au moins"
foodCookiesChickenStroganoff,"Chicken Stroganoff","Poulet Stroganoff"
foodCookiesChickenStroganoffDesc,"Well it might not be the same as your mom's but it is edible","Ce n'est peut-être pas comme celui de ta mère, mais c'est comestible"
foodCookiesFishCakes,"Fish Cakes","Galettes de poisson"
foodCookiesFishCakesDesc,"Canned Salmon has a few uses, this is a pretty good one","Le saumon en conserve a plusieurs utilisations, celle-ci est plutôt bonne"
foodCookiesHoneyGlazedChicken,"Honey Glazed Chicken","Poulet glacé au miel"
foodCookiesHoneyGlazedChickenDesc,"Well now, this is useful food. It doesn't cure dysentery though, can't have it all in the apocalypse.","Et bien, c'est une nourriture saine. Mais cela ne guérit pas la dysenterie, on ne peut pas tout avoir dans l'apocalypse."
foodCookiesMamasChickenSoup,"Mama's Chicken Soup","Soupe au poulet de maman"
foodCookiesMamasChickenSoupDesc,"This shit worked miracles when you were a kid, let's hope it at least fills your belly now.","Cette merde a fait des miracles quand tu étais enfant, espérons que cela remplit ton ventre au moins."
foodCookiesMushroomCarbonara,"Mushroom Carbonara","Carbonara aux champignons"
foodCookiesMushroomCarbonaraDesc,"mushrooms with pasta, you are at least sure it is edible.","Pâtes aux champignons, vous êtes au moins sûr qu'ils sont comestibles."
foodCookiesNarutomakiFishCakes,"Naruto Fish Cakes","Galettes de Poisson Naturo"
foodCookiesNaruatomakiFishCakesDesc,"Often used to add that special touch to ramen, probably doesn't even have a flavour.","Souvent utilisé pour ajouter une touche spéciale aux ramen, probablement sans saveur."
foodCookiesPastie,"Avenger's Empanadas","Empanadas du Vengeur"
foodCookiesPastieDesc,"Meat and stuff in baked dough, this sounds more like food. Twitch's AvengerUnknown's secret recipe","Viandes assorties en croûte, ça ressemble plus à de la nourriture. La recette secrète de Twitch's AvengerUnknown"
foodCookiesPeaSoup,"Pea Soup","Soupe aux pois"
foodCookiesPeaSoupDesc,"Spam and peas, who knew you would be eating so ... well.", "SPAM et petits pois, qui aurait cru que tu mangerais si bien."
foodCookiesRamen,"Ramen","Ramens"
foodCookiesRamenDesc,"this used to be considered low budget, now it is a full belly not followed by the shits.","Avant, c'était considéré comme un petit budget, maintenant c'est un ventre plein et non suivi de merdes."
foodCookiesSalmonMisoSoup,"Salmon Miso Soup","Soupe Miso Au Saumon"
foodCookiesSalmonMisoSoupDesc,"If it doesn't make it into your boot, you're fine!","S'il n'arrive pas dans votre coffre, tout va bien !"
foodCookiesShamStew,"Sham Stew","Ragoût de sham"
foodCookiesShamStewDesc,"This counts as meat and potatos...Right?","Cela compte comme de la viande et des pommes de terre... N'est-ce pas ?"
foodCookiesTunaPotatoJacket,"Tuna Fish Potato Jacket","Pomme de terre au four au thon"
foodCookiesTunaPotatoJacketDesc,"Honestly, I wouldn't think about this one too long","Honnêtement, je n'y penserais pas trop longtemps"
foodCookiesPearSorbet,"Pear Sorbet","Sorbet à la poire"
foodCookiesPearSorbetDesc,"This is the closest you will ever get to icecream again","C'est ce qui se rapproche le plus de la glace"
foodCookiesFriedMushrooms,"Fried Mushrooms","Champignons frits"
foodCookiesFriedMushroomsDesc,"What kind of mushrooms are these?","de quel genre de champignons s'agit-il ?"
foodCookiesBreakfastHash,"Breakfast Hash","Hachis de petit-déjeuner"
foodCookiesBreakfastHashDesc,"Hash for breakfast, not for smoking","Du hasch pour le petit-déjeuner, pas pour fumer"
loadingTipCredit,"Thank you JustMaria for humouring me, when I randomly asked for a translation!",,"Merci JustMaria,for humouring me, when I randomly asked for a translation!"
loadingTipCredit_title,Credit,,Crédit
